source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,Random Undersampling + RF,0.007942049346225,0.0057789771590579,0.0407893410732718,0.0353334288482911,0.6666666666666666,0.0040006583224122,0.0383883453428493,0.7126155634449997,9.0,13.0
synthetic_ir,SMOTE + RF,0.1066666666666666,0.1847520861406802,0.0929965977142221,0.1159086338891891,0.0888888888888888,0.1333333333333333,0.1083637177319491,0.1720981632028005,4.0,5.5
synthetic_ir,SMOTE-ENN + RF,0.1066666666666666,0.1847520861406802,0.0737051646132144,0.0769643950921483,0.0888888888888888,0.1333333333333333,0.1083867756387481,0.1720981632028005,4.0,8.0
synthetic_ir,SMOTE-Tomek + RF,0.1066666666666666,0.1847520861406802,0.0929965977142221,0.1159086338891891,0.0888888888888888,0.1333333333333333,0.1083637177319491,0.1720981632028005,4.0,5.5
synthetic_ir,ADASYN + RF,0.5837166991552957,0.0671337369275413,0.6790309759846216,0.0754454609173565,0.45,0.8702380952380953,0.6175427631183635,0.6682492788400586,3.0,7.0
synthetic_ir,Balanced Bagging,0.2004036300711492,0.0050695344588401,0.468682943974479,0.0533810194822522,0.7833333333333333,0.1149314124061942,0.2853105403955213,0.8575365613715936,9.0,12.0
synthetic_ir,Balanced Random Forest,0.3201154676529157,0.0404768543793191,0.5945715969429112,0.0479997120743748,0.7833333333333333,0.2020638424742159,0.386607468427292,0.8708836764729503,8.0,8.0
synthetic_ir,Baseline RF,0.1379130887327608,0.1317533065211302,0.5626043929494188,0.1078147481942038,0.0777777777777777,1.0,0.2525264456434214,0.2536515110291408,12.0,9.0
synthetic_ir,Borderline-SMOTE + RF,0.5496304931894166,0.0841607453667939,0.7210746388610888,0.0744474522825337,0.3888888888888889,0.9628647214854112,0.6068406595449652,0.621048597561825,5.0,1.0
synthetic_ir,Class weight LogisticRegression,0.1100168743090467,0.0471230529137586,0.3579787885168099,0.2254741200366693,0.7999999999999999,0.0593825790597843,0.19160428235429,0.8256872208498773,13.0,13.0
